id;name;population_2020_VPN_tab_4_Tom_1;zanytoe_popul_2020_tab_6.2;procent_rabotayushih;2020_in_worker_na rabotu_in_subject_tab_6.25;2020_out_worker_from_subject_tab_6.25;procent_worker_in_another_subject;procent_worker_from_another_subject;trud_migr_otnositelnaya_beetween_subjects
1;Республика Адыгея;496,934;185;0,372282838;0,728515695;29,3633307;0,158720706;0,003937923;-15,47827838
2;Республика Башкортостан;4091,423;1789;0,437256182;7,542966931;165,2513388;0,092370787;0,004216303;-8,8154484
3;Республика Бурятия;978,588;382;0,390358353;3,87057586;10,98443177;0,028755057;0,010132398;-1,862265945
4;Республика Алтай;210,924;85;0,402988754;0,829557269;2,435362262;0,028651321;0,009759497;-1,889182345
5;Республика Дагестан;3182,054;1085;0,340974729;1,423034491;69,12919925;0,063713548;0,001311553;-6,240199517
6;Республика Ингушетия;509,541;183;0,359146761;0,835533399;0,252199074;0,001378137;0,004565756;0,318761926
7;Кабардино-Балкарская Республика;904,2;386;0,426896704;0,633970434;25,40958733;0,065827946;0,00164241;-6,4185536
8;Республика Калмыкия;267,133;122;0,456701344;0,753016152;13,72668896;0,112513844;0,006172264;-10,63415804
9;Карачаево-Черкесская Республика;469,865;174;0,370319134;0,64259575;7,77860851;0,044704647;0,003693079;-4,101156759
10;Республика Карелия;533,121;273;0,512078871;2,075121062;4,281351449;0,015682606;0,007601176;-0,808142999
11;Республика Коми;737,853;383;0,519073582;13,06819405;6,862302901;0,01791724;0,034120611;1,620337115
12;Республика Марий Эл;677,097;304;0,448975553;1,352537628;36,92052662;0,121449101;0,004449137;-11,69999638
13;Республика Мордовия;783,552;383;0,488799722;2,499083868;37,21198947;0,097159241;0,006525023;-9,063421828
14;Республика Саха (Якутия);995,686;465;0,467014701;34,81161112;0,424549627;0,00091301;0,07486368;7,395066988
15;Республика Северная Осетия – Алания;687,357;241;0,350618383;3,102304615;5,080845452;0,021082346;0,012872633;-0,820971302
16;Республика Татарстан;4004,809;1953;0,487663706;33,41874428;24,29444774;0,012439553;0,017111492;0,467193883
17;Республика Тыва;336,651;107;0,317836573;0,761682728;0,786906905;0,00735427;0,00711853;-0,023573997
18;Удмуртская Республика;1452,914;721;0,4962441;2,978222539;20,09955561;0,027877331;0,004130683;-2,374664781
19;Республика Хакасия;534,795;220;0,411372582;2,636829752;10,19070074;0,046321367;0,01198559;-3,433577722
20;Чеченская Республика;1510,824;532;0,352125727;6,083788197;6,079899308;0,011428382;0,011435692;0,000730994
21;Чувашская Республика;1186,909;568;0,478553958;1,515798982;77,60833123;0,136634386;0,00266866;-13,39657258
22;Алтайский край;2163,693;1034;0,47788665;2,730845765;24,87343808;0,024055549;0,00264105;-2,141449934
23;Краснодарский край;5838,273;2661;0,455785469;64,32198454;14,22060683;0,005344084;0,02417211;1,88280262
24;Красноярский край;2856,971;1373;0,480578907;35,01276116;16,14707628;0,011760434;0,025500919;1,374048425
25;Приморский край;1845,165;947;0,513233234;9,842195139;10,82195125;0,011427615;0,010393025;-0,103458935
26;Ставропольский край;2907,593;1287;0,442634165;9,322707275;29,88932975;0,023224032;0,007243751;-1,598028164
27;Хабаровский край;1292,944;693;0,535986091;18,10276567;6,481969868;0,009353492;0,026122317;1,676882511
28;Амурская область;766,912;379;0,494189685;11,12069515;4,294168362;0,01133026;0,029342204;1,801194403
29;Архангельская область;978,873;485;0,495467747;3,013375936;6,323112925;0,013037346;0,006213146;-0,682419998
30;Астраханская область;960,142;463;0,482220338;2,532611872;10,01262972;0,02162555;0,005470004;-1,615554611
31;Белгородская область;1540,486;793;0,514772611;4,397506414;22,72175006;0,0286529;0,005545405;-2,310749514
32;Брянская область;1169,161;560;0,478975949;1,887814919;50,87793405;0,090853454;0,003371098;-8,748235559
33;Владимирская область;1348,134;671;0,497725004;5,168087088;50,25563125;0,074896619;0,007702067;-6,719455166
34;Волгоградская область;2500,781;1153;0,461055966;6,272530214;59,53073939;0,05163117;0,005440182;-4,619098801
35;Вологодская область;1142,827;535;0,468137347;4,158602251;8,249048371;0,015418782;0,007773088;-0,764569368
36;Воронежская область;2308,792;1122;0,48596842;9,684228801;25,03150543;0,02230972;0,00863122;-1,367849967
37;Ивановская область;927,828;486;0,523803981;1,62336149;37,72007249;0,077613318;0,00334025;-7,42730679
38;Иркутская область;2370,102;1064;0,448925827;16,71031463;13,59377113;0,012776101;0,015705183;0,292908224
